,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Cost Price
6076,Standard Class,Consumer,New York City,New York,East,Technology,Accessories,468.9,6,0.0,206.31599999999997,43.764
6077,Standard Class,Consumer,New York City,New York,East,Technology,Accessories,72.48,2,0.0,30.4416,21.0192
6078,Standard Class,Consumer,New York City,New York,East,Office Supplies,Supplies,10.95,3,0.0,3.285,2.5549999999999997
6079,Standard Class,Consumer,New York City,New York,East,Furniture,Furnishings,191.82,3,0.0,61.3824,43.4792
6080,First Class,Home Office,Houston,Texas,Central,Office Supplies,Storage,151.056,9,0.2,7.5528,19.133760000000002
6081,Same Day,Consumer,Lubbock,Texas,Central,Furniture,Furnishings,25.16,5,0.6,-11.322000000000001,11.674240000000001
6082,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,6.216,6,0.8,-9.6348,4.75524
6083,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Art,23.616,9,0.2,2.6568,2.7945599999999997
6084,Standard Class,Consumer,Houston,Texas,Central,Technology,Accessories,24.031999999999996,2,0.2,-0.6008,14.779679999999997
6085,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Labels,2.088,1,0.2,0.6786,1.6912800000000001
6086,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,4.488,6,0.8,-6.732,3.366
6087,Standard Class,Consumer,Costa Mesa,California,West,Furniture,Furnishings,29.22,3,0.0,12.8568,5.4544
6088,Standard Class,Corporate,Roswell,Georgia,South,Office Supplies,Paper,6.48,1,0.0,3.1104,3.3696000000000006
6089,Second Class,Corporate,Loveland,Colorado,West,Office Supplies,Binders,1.188,2,0.7,-0.99,1.8513
6090,Standard Class,Consumer,New York City,New York,East,Furniture,Chairs,272.64599999999996,3,0.1,18.1764,93.30551999999999
6091,Standard Class,Consumer,New York City,New York,East,Technology,Accessories,212.8,2,0.0,95.76,58.52
6092,Standard Class,Consumer,New York City,New York,East,Office Supplies,Paper,38.52,9,0.0,18.1044,2.2684000000000006
6093,Standard Class,Consumer,New York City,New York,East,Technology,Accessories,72.64,2,0.0,21.791999999999998,25.424
6094,Standard Class,Consumer,New York City,New York,East,Office Supplies,Storage,45.4,4,0.0,12.712,8.172
6095,Standard Class,Consumer,New York City,New York,East,Office Supplies,Paper,13.76,2,0.0,6.3296,3.7152
6096,Standard Class,Consumer,New York City,New York,East,Furniture,Chairs,80.991,1,0.1,8.0991,80.18109
6097,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,11.784,3,0.2,3.9771,3.12276
6098,Standard Class,Consumer,New York City,New York,East,Office Supplies,Fasteners,4.36,2,0.0,1.7876,1.2862
6099,Standard Class,Consumer,New York City,New York,East,Furniture,Chairs,2888.127,11,0.1,609.7157,227.84113
6100,Standard Class,Consumer,New York City,New York,East,Technology,Phones,1299.66,2,0.0,350.9082,474.3759
6101,Standard Class,Consumer,New York City,New York,East,Furniture,Chairs,2254.41,5,0.1,375.735,413.3085
6102,Standard Class,Consumer,New York City,New York,East,Technology,Phones,104.85,3,0.0,28.3095,25.513499999999997
6103,Standard Class,Consumer,New York City,New York,East,Technology,Accessories,59.97,3,0.0,20.3898,13.193399999999999
6104,First Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Tables,314.532,2,0.4,-83.8752,278.88503999999995
6105,Standard Class,Corporate,Miami,Florida,South,Office Supplies,Art,13.632,4,0.2,3.5784,3.0160799999999997
6106,Standard Class,Consumer,Grand Prairie,Texas,Central,Office Supplies,Appliances,19.432000000000002,2,0.8,-49.5516,62.08524
6107,Standard Class,Consumer,Grand Prairie,Texas,Central,Technology,Accessories,65.44,5,0.2,-8.18,17.6688
6108,Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Labels,6.0,2,0.2,2.1,2.34
6109,Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Binders,1.9080000000000001,3,0.8,-3.2436,3.0909600000000004
6110,Standard Class,Consumer,Parma,Ohio,East,Furniture,Chairs,1474.8020000000001,7,0.3,-21.0686,277.80454000000003
6111,Standard Class,Consumer,Parma,Ohio,East,Office Supplies,Appliances,110.096,2,0.2,33.0288,46.240320000000004
6112,Standard Class,Consumer,Parma,Ohio,East,Office Supplies,Fasteners,16.752,6,0.2,5.4444,2.2615199999999995
6113,Standard Class,Consumer,Parma,Ohio,East,Furniture,Chairs,1537.0739999999998,9,0.3,0.0,222.02179999999998
6114,Standard Class,Consumer,Parma,Ohio,East,Furniture,Chairs,449.37199999999996,2,0.3,-12.8392,300.43728
6115,Standard Class,Corporate,Redwood City,California,West,Office Supplies,Binders,41.903999999999996,6,0.2,14.1426,5.552279999999999
6116,Standard Class,Home Office,New York City,New York,East,Technology,Phones,2279.96,4,0.0,592.7896,421.7926
6117,Standard Class,Home Office,New York City,New York,East,Office Supplies,Labels,14.94,3,0.0,6.8724,2.6891999999999996
6118,Standard Class,Corporate,Springfield,Oregon,West,Technology,Phones,191.976,3,0.2,19.1976,69.11136
6119,Standard Class,Corporate,Springfield,Oregon,West,Office Supplies,Art,23.831999999999997,3,0.2,6.5538,6.911279999999999
6120,Standard Class,Corporate,Springfield,Oregon,West,Furniture,Furnishings,409.216,8,0.2,61.3824,52.175039999999996
6121,Standard Class,Corporate,Springfield,Oregon,West,Furniture,Bookcases,72.58800000000001,2,0.7,-128.2388,170.70278
6122,Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Storage,61.568000000000005,2,0.2,4.6176,34.17024
6123,Standard Class,Home Office,Bedford,Texas,Central,Office Supplies,Paper,20.96,4,0.2,6.812,4.2444
6124,Standard Class,Corporate,Los Angeles,California,West,Technology,Accessories,44.75,5,0.0,8.5025,7.2495
6125,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,11.96,2,0.0,5.382000000000001,3.289
6126,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Binders,3.912,1,0.2,1.2714,3.16872
6127,Standard Class,Consumer,New York City,New York,East,Furniture,Chairs,327.996,6,0.1,54.666000000000004,50.1105
6128,First Class,Corporate,San Francisco,California,West,Office Supplies,Binders,49.408,4,0.2,18.528,9.264000000000001
6129,Standard Class,Home Office,Virginia Beach,Virginia,South,Technology,Accessories,53.25,3,0.0,20.7675,10.8275
6130,Standard Class,Home Office,Virginia Beach,Virginia,South,Office Supplies,Fasteners,3.76,2,0.0,1.3159999999999998,1.222
6131,Standard Class,Home Office,New York City,New York,East,Furniture,Chairs,767.2139999999999,14,0.1,161.9674,47.55509
6132,Standard Class,Consumer,Lebanon,Tennessee,South,Office Supplies,Paper,163.96,5,0.2,59.4355,25.085880000000007
6133,First Class,Corporate,Los Angeles,California,West,Furniture,Tables,161.28,2,0.2,12.095999999999998,89.51039999999999
6134,Same Day,Consumer,Chula Vista,California,West,Office Supplies,Art,192.8,4,0.0,55.912,34.222
6135,Standard Class,Home Office,Mcallen,Texas,Central,Technology,Accessories,27.695999999999998,3,0.2,3.4619999999999997,9.693599999999998
6136,Standard Class,Home Office,Mcallen,Texas,Central,Office Supplies,Appliances,73.164,6,0.8,-186.5682,77.91966
6137,Second Class,Consumer,Hollywood,Florida,South,Office Supplies,Paper,32.064,6,0.2,11.2224,4.16832
6138,Standard Class,Consumer,San Francisco,California,West,Furniture,Bookcases,205.666,2,0.15,-12.097999999999999,125.2143
6139,First Class,Consumer,Santa Maria,California,West,Office Supplies,Storage,115.44,3,0.0,30.0144,28.4752
6140,Standard Class,Consumer,Manchester,Connecticut,East,Office Supplies,Paper,274.8,5,0.0,134.65200000000002,28.0296
6141,Standard Class,Consumer,Manchester,Connecticut,East,Office Supplies,Storage,195.64,4,0.0,3.9128,47.931799999999996
6142,Standard Class,Consumer,Manchester,Connecticut,East,Technology,Phones,257.98,2,0.0,74.8142,91.58290000000001
6143,Standard Class,Consumer,Manchester,Connecticut,East,Office Supplies,Art,119.04,6,0.0,48.8064,11.705600000000002
6144,Standard Class,Consumer,Omaha,Nebraska,Central,Office Supplies,Paper,20.07,3,0.0,9.2322,3.6126
6145,Standard Class,Consumer,San Jose,California,West,Office Supplies,Art,11.76,4,0.0,3.1752,2.1462
6146,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Art,11.76,4,0.0,3.1752,2.1462
6147,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Binders,40.736,2,0.2,14.7668,15.581519999999998
6148,Second Class,Consumer,San Francisco,California,West,Technology,Phones,201.584,2,0.2,12.599,113.391
6149,First Class,Corporate,Long Beach,California,West,Furniture,Chairs,340.704,6,0.2,-34.0704,74.95488
6150,First Class,Consumer,Columbus,Georgia,South,Furniture,Bookcases,354.9,5,0.0,88.725,53.23499999999999
6151,Second Class,Home Office,San Francisco,California,West,Furniture,Bookcases,1198.33,10,0.15,70.49,129.70159999999998
6152,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,87.92,4,0.0,0.8792,21.7602
6153,First Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,51.968,2,0.2,10.3936,24.944640000000003
6154,First Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Storage,51.336000000000006,3,0.2,5.7753,18.22428
6155,First Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Storage,332.704,1,0.2,33.2704,359.32032
6156,First Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,42.408,3,0.2,9.5418,13.146479999999999
6157,Second Class,Consumer,Tulsa,Oklahoma,Central,Office Supplies,Envelopes,81.54,3,0.0,38.3238,14.405400000000002
6158,Second Class,Consumer,Tulsa,Oklahoma,Central,Technology,Accessories,167.28,12,0.0,23.4192,11.9884
6159,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Storage,772.68,4,0.0,108.1752,166.12619999999998
6160,First Class,Corporate,Lakeland,Florida,South,Technology,Phones,323.976,3,0.2,28.3479,118.25124000000001
6161,First Class,Corporate,Lakeland,Florida,South,Office Supplies,Labels,11.808,4,0.2,3.9852,2.34684
6162,First Class,Corporate,Lakeland,Florida,South,Office Supplies,Storage,26.16,3,0.2,1.962,9.6792
6163,First Class,Corporate,Lakeland,Florida,South,Office Supplies,Binders,33.57,5,0.7,-25.737,20.164379999999998
6164,First Class,Corporate,Lakeland,Florida,South,Furniture,Furnishings,4.992,3,0.2,1.3728,1.44768
6165,First Class,Corporate,Lakeland,Florida,South,Furniture,Furnishings,20.016,3,0.2,5.5044,5.804639999999999
6166,First Class,Corporate,Lakeland,Florida,South,Technology,Accessories,170.24,2,0.2,53.2,70.224
6167,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,117.456,3,0.2,44.04600000000001,29.363999999999997
6168,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Paper,22.96,2,0.0,11.2504,5.8548
6169,Second Class,Consumer,Springfield,Virginia,South,Office Supplies,Paper,13.36,2,0.0,6.4128,3.4736
6170,Second Class,Corporate,New York City,New York,East,Office Supplies,Binders,34.248000000000005,3,0.2,11.5587,9.07572
6171,Second Class,Corporate,New York City,New York,East,Office Supplies,Art,3.52,2,0.0,1.0208,1.2496
6172,Standard Class,Home Office,Springfield,Missouri,Central,Office Supplies,Binders,26.7,5,0.0,12.549000000000001,2.8301999999999996
6173,Standard Class,Home Office,Springfield,Missouri,Central,Technology,Accessories,21.2,2,0.0,9.116,6.042
6174,Standard Class,Home Office,Springfield,Missouri,Central,Office Supplies,Storage,838.38,2,0.0,226.3626,306.0087
6175,Standard Class,Consumer,Columbia,South Carolina,South,Furniture,Chairs,1690.04,4,0.0,422.51,316.8825
6176,Standard Class,Consumer,Columbia,South Carolina,South,Office Supplies,Storage,85.96,7,0.0,24.0688,8.8416
6177,Standard Class,Consumer,Columbia,South Carolina,South,Office Supplies,Envelopes,121.96,2,0.0,57.3212,32.3194
6178,Standard Class,Consumer,Columbia,South Carolina,South,Office Supplies,Paper,23.92,4,0.0,11.7208,3.0498000000000003
6179,Standard Class,Consumer,Columbia,South Carolina,South,Office Supplies,Storage,63.96,2,0.0,6.396,28.782
6180,Standard Class,Consumer,Columbia,South Carolina,South,Technology,Phones,629.95,5,0.0,176.386,90.71280000000002
6181,Standard Class,Consumer,Columbia,South Carolina,South,Technology,Phones,113.73,3,0.0,32.9817,26.9161
6182,Standard Class,Consumer,Columbia,South Carolina,South,Office Supplies,Binders,14.6,2,0.0,6.862,3.8689999999999998
6183,Standard Class,Consumer,Columbia,South Carolina,South,Office Supplies,Storage,887.84,8,0.0,17.7568,108.7604
6184,First Class,Home Office,Portland,Oregon,West,Furniture,Chairs,403.92,5,0.2,25.245,90.88199999999999
6185,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,106.8,10,0.2,10.68,11.5344
6186,First Class,Corporate,New York City,New York,East,Office Supplies,Storage,70.95,3,0.0,20.5755,16.7915
6187,First Class,Corporate,New York City,New York,East,Office Supplies,Binders,34.944,6,0.2,11.7936,4.630080000000001
6188,First Class,Corporate,New York City,New York,East,Office Supplies,Art,119.04,6,0.0,35.711999999999996,13.888
6189,Standard Class,Consumer,Des Plaines,Illinois,Central,Technology,Phones,383.84,4,0.2,47.98,100.75799999999998
6190,Standard Class,Consumer,New York City,New York,East,Furniture,Furnishings,799.56,9,0.0,207.8856,65.74159999999999
6191,Same Day,Consumer,Seattle,Washington,West,Office Supplies,Storage,31.44,3,0.0,8.4888,7.6504
6192,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,25.92,5,0.2,9.072000000000001,4.043519999999999
6193,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,6.33,5,0.8,-9.8115,5.81094
6194,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,75.88,5,0.2,26.558000000000003,11.837279999999998
6195,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,329.98800000000006,2,0.4,-76.9972,284.88964000000004
6196,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Storage,71.376,3,0.2,-4.461,30.334799999999998
6197,Standard Class,Consumer,Columbus,Indiana,Central,Office Supplies,Paper,63.77,7,0.0,28.6965,5.0105
6198,Standard Class,Consumer,Columbus,Indiana,Central,Technology,Phones,50.97,3,0.0,13.2522,12.5726
6199,Standard Class,Consumer,Columbus,Indiana,Central,Office Supplies,Paper,96.08,2,0.0,46.1184,24.9808
6200,Standard Class,Consumer,Evanston,Illinois,Central,Technology,Copiers,1439.9679999999998,4,0.2,485.9892,286.19363999999996
6201,Standard Class,Consumer,Evanston,Illinois,Central,Technology,Accessories,43.56,3,0.2,-4.9005,19.3842
6202,Standard Class,Consumer,Apple Valley,California,West,Furniture,Chairs,563.92,5,0.2,7.0489999999999995,133.64903999999999
6203,Standard Class,Consumer,Columbus,Ohio,East,Technology,Phones,235.15200000000002,8,0.4,-47.0304,49.38192
6204,First Class,Home Office,Marion,Ohio,East,Furniture,Furnishings,7.712000000000001,2,0.2,1.7352,3.5860800000000004
6205,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,51.016000000000005,7,0.2,15.9425,6.0126
6206,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Fasteners,25.248,4,0.2,7.89,5.2074
6207,Second Class,Consumer,Houston,Texas,Central,Furniture,Chairs,56.68600000000001,1,0.3,-14.5764,92.64112000000002
6208,Standard Class,Corporate,Marion,Ohio,East,Office Supplies,Storage,51.168,2,0.2,-6.396,34.538399999999996
6209,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,2793.528,9,0.2,942.8157,246.76163999999994
6210,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Storage,1000.02,7,0.0,290.0058,101.4306
6211,Standard Class,Corporate,Seattle,Washington,West,Furniture,Furnishings,65.94,3,0.0,22.4196,14.506799999999998
6212,Second Class,Consumer,Longview,Washington,West,Office Supplies,Fasteners,18.24,3,0.0,9.12,3.0399999999999996
6213,Second Class,Consumer,Longview,Washington,West,Office Supplies,Appliances,76.12,2,0.0,22.0748,27.022600000000004
6214,Standard Class,Consumer,Redondo Beach,California,West,Office Supplies,Envelopes,7.64,1,0.0,3.7436,3.8964
6215,Standard Class,Corporate,New York City,New York,East,Furniture,Furnishings,68.16,3,0.0,27.9456,13.4048
6216,Standard Class,Corporate,New York City,New York,East,Office Supplies,Envelopes,62.24,8,0.0,29.2528,4.1234
6217,Standard Class,Consumer,Louisville,Kentucky,South,Technology,Phones,29.97,3,0.0,0.2997,9.890099999999999
6218,Standard Class,Consumer,Trenton,Michigan,Central,Technology,Phones,125.7,6,0.0,35.196,15.084000000000001
6219,Standard Class,Consumer,Trenton,Michigan,Central,Technology,Phones,191.98,2,0.0,51.8346,70.0727
6220,Standard Class,Consumer,Trenton,Michigan,Central,Office Supplies,Storage,20.86,7,0.0,1.4602,2.7714
6221,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Labels,56.7,9,0.0,26.081999999999997,3.4020000000000006
6222,Standard Class,Consumer,Hendersonville,Tennessee,South,Furniture,Furnishings,72.704,4,0.2,19.0848,16.085759999999997
6223,Standard Class,Consumer,Hendersonville,Tennessee,South,Office Supplies,Art,12.264000000000001,7,0.2,1.0731,1.9184400000000001
6224,Standard Class,Consumer,Hendersonville,Tennessee,South,Office Supplies,Storage,218.352,3,0.2,-54.588,109.176
6225,Standard Class,Consumer,Portland,Oregon,West,Furniture,Bookcases,66.294,1,0.7,-103.8606,289.26282000000003
6226,Standard Class,Consumer,Portland,Oregon,West,Furniture,Chairs,291.168,4,0.2,-14.5584,91.71792
6227,Standard Class,Consumer,Irving,Texas,Central,Technology,Phones,88.77600000000001,3,0.2,7.7679,32.403240000000004
6228,Standard Class,Home Office,Cleveland,Ohio,East,Technology,Phones,110.376,4,0.4,-20.2356,45.71406
6229,Standard Class,Home Office,Cleveland,Ohio,East,Technology,Accessories,55.176,3,0.2,15.8631,15.725159999999999
6230,Standard Class,Consumer,Waterloo,Iowa,Central,Office Supplies,Art,30.32,4,0.0,11.8248,4.6238
6231,Same Day,Consumer,Seattle,Washington,West,Furniture,Chairs,177.56799999999998,2,0.2,8.8784,101.21376
6232,Same Day,Consumer,Seattle,Washington,West,Office Supplies,Paper,19.44,3,0.0,9.3312,3.3696
6233,Same Day,Consumer,Seattle,Washington,West,Office Supplies,Paper,71.28,11,0.0,34.2144,3.3696
6234,Same Day,Consumer,Seattle,Washington,West,Office Supplies,Binders,1471.96,5,0.2,459.9875,242.8734
6235,Same Day,Consumer,Seattle,Washington,West,Technology,Phones,79.96,5,0.2,-17.991,23.508239999999997
6236,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,57.576,3,0.2,21.590999999999998,14.393999999999998
6237,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,26.336,4,0.2,9.2176,5.1355200000000005
6238,Standard Class,Consumer,San Jose,California,West,Furniture,Furnishings,166.5,3,0.0,21.645,48.285
6239,Standard Class,Consumer,San Jose,California,West,Office Supplies,Storage,360.38,2,0.0,93.6988,133.3406
6240,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.744000000000002,1,0.2,3.8168,9.512640000000001
6241,Second Class,Corporate,Concord,New Hampshire,East,Furniture,Furnishings,247.44,8,0.0,101.4504,18.2487
6242,Standard Class,Home Office,Columbia,Tennessee,South,Office Supplies,Binders,18.24,2,0.7,-14.592,27.9072
6243,Standard Class,Home Office,Bellevue,Washington,West,Office Supplies,Supplies,25.35,3,0.0,7.605,5.915
6244,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,Art,119.04,6,0.0,30.9504,14.681600000000001
6245,Standard Class,Home Office,Seattle,Washington,West,Furniture,Furnishings,22.14,3,0.0,6.4206,5.2398
6246,Standard Class,Home Office,Seattle,Washington,West,Technology,Accessories,13.98,2,0.0,6.0114,3.9843
6247,Standard Class,Consumer,Columbus,Indiana,Central,Office Supplies,Binders,43.41,1,0.0,19.9686,23.441399999999998
6248,Standard Class,Consumer,Columbus,Indiana,Central,Furniture,Furnishings,6.24,3,0.0,2.6208,1.2064000000000001
6249,Standard Class,Consumer,Columbus,Indiana,Central,Office Supplies,Appliances,465.16,2,0.0,120.9416,172.10920000000002
6250,Standard Class,Consumer,Columbus,Indiana,Central,Office Supplies,Paper,7.98,1,0.0,3.99,3.99
6251,First Class,Consumer,Chicago,Illinois,Central,Office Supplies,Appliances,2.394,1,0.8,-6.3441,15.72858
6252,Same Day,Home Office,Marietta,Georgia,South,Office Supplies,Paper,58.32,9,0.0,27.9936,3.3696
6253,Same Day,Home Office,Marietta,Georgia,South,Technology,Phones,200.97,3,0.0,50.2425,50.2425
6254,Standard Class,Corporate,Montgomery,Alabama,South,Furniture,Furnishings,21.36,8,0.0,8.1168,1.6554
6255,Standard Class,Corporate,Plano,Texas,Central,Office Supplies,Labels,9.856,4,0.2,3.4496,1.9219199999999999
6256,Second Class,Home Office,Tamarac,Florida,South,Office Supplies,Binders,3.444,1,0.7,-2.5256,10.14832
6257,Second Class,Corporate,Columbus,Ohio,East,Office Supplies,Supplies,384.592,2,0.2,-81.7258,279.79067999999995
6258,Second Class,Consumer,New York City,New York,East,Office Supplies,Envelopes,22.92,3,0.0,11.2308,3.8964000000000003
6259,Second Class,Consumer,Richmond,Indiana,Central,Office Supplies,Binders,11.36,4,0.0,5.5664,1.4484
6260,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,14.592,3,0.2,4.9248,3.86688
6261,Standard Class,Corporate,Long Beach,New York,East,Office Supplies,Labels,41.4,4,0.0,19.872,5.382
6262,First Class,Corporate,Rockford,Illinois,Central,Office Supplies,Binders,442.37199999999996,7,0.8,-729.9138,301.44492
6263,Standard Class,Corporate,Columbus,Georgia,South,Office Supplies,Binders,34.5,3,0.0,15.525,6.325
6264,Same Day,Consumer,Tulsa,Oklahoma,Central,Office Supplies,Binders,28.85,5,0.0,14.425,2.8850000000000002
6265,Standard Class,Consumer,Nashville,Tennessee,South,Office Supplies,Paper,3.488,2,0.2,1.1772,1.38648
6266,Standard Class,Consumer,Nashville,Tennessee,South,Office Supplies,Paper,143.856,9,0.2,48.5514,12.707279999999999
6267,Second Class,Home Office,Cambridge,Massachusetts,East,Technology,Phones,311.98,2,0.0,93.594,109.19300000000001
6268,Second Class,Home Office,Cambridge,Massachusetts,East,Office Supplies,Binders,22.45,5,0.0,10.327,2.4246
6269,Standard Class,Corporate,Oakland,California,West,Technology,Phones,39.992,1,0.2,-7.9984,57.58847999999999
6270,Standard Class,Corporate,Oakland,California,West,Furniture,Chairs,1159.056,9,0.2,43.4646,148.74552
6271,Standard Class,Corporate,Oakland,California,West,Office Supplies,Art,179.9,5,0.0,44.975,26.985000000000003
6272,First Class,Corporate,Palatine,Illinois,Central,Technology,Accessories,116.31200000000001,7,0.2,23.2624,15.951360000000001
6273,Second Class,Consumer,Seattle,Washington,West,Furniture,Furnishings,12.42,3,0.0,4.4712,2.6496
6274,Second Class,Consumer,Seattle,Washington,West,Technology,Accessories,428.4,3,0.0,89.964,112.812
6275,Second Class,Consumer,Seattle,Washington,West,Furniture,Furnishings,24.75,5,0.0,10.89,2.772
6276,Second Class,Consumer,Seattle,Washington,West,Office Supplies,Labels,87.71,7,0.0,41.2237,6.640899999999999
6277,Second Class,Consumer,Seattle,Washington,West,Office Supplies,Storage,69.52,2,0.0,17.38,26.07
6278,Second Class,Consumer,Seattle,Washington,West,Technology,Phones,20.784000000000002,2,0.2,-4.6764,15.276240000000001
6279,Second Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,12.815999999999999,3,0.2,4.1652,3.46032
6280,Standard Class,Consumer,Cincinnati,Ohio,East,Office Supplies,Labels,5.904,2,0.2,1.9926,2.34684
6281,Standard Class,Consumer,Marion,Ohio,East,Furniture,Furnishings,63.824,2,0.2,9.5736,32.550239999999995
6282,Standard Class,Consumer,Marion,Ohio,East,Office Supplies,Storage,141.55200000000002,3,0.2,-26.541,67.2372
6283,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Envelopes,304.9,5,0.0,143.303,32.319399999999995
6284,Standard Class,Corporate,Los Angeles,California,West,Furniture,Chairs,563.24,5,0.2,56.324,121.65984
6285,Standard Class,Corporate,Lakewood,Ohio,East,Furniture,Tables,661.176,2,0.4,-231.4116,624.81132
6286,Standard Class,Home Office,Lebanon,Tennessee,South,Technology,Phones,239.976,3,0.2,17.9982,88.79111999999999
6287,Standard Class,Corporate,San Francisco,California,West,Furniture,Tables,502.48800000000006,3,0.2,-87.9354,236.16936
6288,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Binders,196.704,6,0.2,68.8464,25.57152
6289,Second Class,Home Office,Chico,California,West,Furniture,Chairs,915.1360000000001,4,0.2,102.9528,243.65496000000002
6290,Second Class,Home Office,Chico,California,West,Furniture,Furnishings,327.76,8,0.0,91.7728,29.498399999999997
6291,First Class,Consumer,Salem,Virginia,South,Furniture,Chairs,701.96,2,0.0,168.4704,266.7448
6292,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,88.77600000000001,3,0.2,7.7679,32.403240000000004
6293,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,64.14,3,0.0,16.6764,15.8212
6294,First Class,Corporate,New York City,New York,East,Office Supplies,Binders,33.552,1,0.2,12.582,25.163999999999998
6295,Standard Class,Corporate,Beverly,Massachusetts,East,Office Supplies,Appliances,1737.18,6,0.0,503.7822,205.56630000000004
6296,Standard Class,Corporate,Beverly,Massachusetts,East,Office Supplies,Storage,704.25,5,0.0,84.51,123.94800000000001
6297,Standard Class,Corporate,Beverly,Massachusetts,East,Office Supplies,Paper,141.76,4,0.0,66.6272,18.783199999999997
6298,Standard Class,Corporate,San Diego,California,West,Office Supplies,Binders,36.36,3,0.2,12.2715,9.6354
6299,First Class,Home Office,San Francisco,California,West,Furniture,Furnishings,25.83,3,0.0,9.5571,5.4243
6300,Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Binders,24.588,3,0.8,-38.1114,37.619640000000004
6301,Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Envelopes,13.984000000000002,2,0.2,4.7196,5.558640000000001
6302,Standard Class,Consumer,Dallas,Texas,Central,Technology,Phones,195.96,5,0.2,19.596,42.327360000000006
6303,Second Class,Home Office,Corpus Christi,Texas,Central,Office Supplies,Paper,74.352,3,0.2,23.235,20.4468
6304,Same Day,Consumer,New York City,New York,East,Office Supplies,Paper,6.68,1,0.0,3.2064,3.4736
6305,Second Class,Corporate,Eugene,Oregon,West,Office Supplies,Supplies,17.584,7,0.2,-4.1762,3.7303199999999994
6306,Second Class,Corporate,Eugene,Oregon,West,Furniture,Chairs,104.78399999999999,1,0.2,-14.4078,143.03015999999997
6307,Second Class,Corporate,Eugene,Oregon,West,Office Supplies,Paper,47.952,3,0.2,16.7832,12.467519999999999
6308,Second Class,Corporate,Eugene,Oregon,West,Furniture,Chairs,650.352,3,0.2,-97.5528,299.16192
6309,Second Class,Corporate,Eugene,Oregon,West,Office Supplies,Labels,629.184,8,0.2,228.0792,60.16571999999999
6310,Second Class,Corporate,Eugene,Oregon,West,Office Supplies,Paper,15.175999999999998,1,0.2,5.3116,11.837279999999998
6311,Standard Class,Consumer,Oxnard,California,West,Furniture,Furnishings,127.95,3,0.0,21.7515,35.399499999999996
6312,Standard Class,Corporate,Fairfield,Connecticut,East,Office Supplies,Storage,579.51,3,0.0,81.1314,166.1262
6313,Standard Class,Corporate,Fairfield,Connecticut,East,Technology,Phones,14.99,1,0.0,7.3451,7.6449
6314,Standard Class,Corporate,Jackson,Michigan,Central,Office Supplies,Art,151.92,4,0.0,45.576,26.586
6315,Standard Class,Corporate,Jackson,Michigan,Central,Office Supplies,Labels,196.62,2,0.0,96.3438,50.1381
